complaint_id,product_raw,product_category,issue,sub_issue,original_narrative,cleaned_narrative,word_count,company,state,date_received
100001,Consumer Loan,Personal Loan,Payment processing,Customer communication,I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had payment processing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,NY,2026-02-02
100002,Checking or savings account,Savings Account,Transfers delayed,Customer communication,I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had transfers delayed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,TX,2026-03-03
100003,Money transfer,Money Transfer,Transfer failed,Customer communication,I am writing to file a complaint. I used my money transfer service and had transfer failed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had transfer failed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,FL,2026-04-04
100004,Credit card,Credit Card,Fees,Customer communication,I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,28,CrediTrust,WA,2026-05-05
100005,Consumer Loan,Personal Loan,Loan servicing,Customer communication,I am writing to file a complaint. I used my personal loan service and had loan servicing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had loan servicing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,IL,2026-06-06
100006,Checking or savings account,Savings Account,Account access,Customer communication,I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had account access. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,CA,2026-07-07
100007,Money transfer,Money Transfer,Funds not received,Customer communication,I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had funds not received. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,30,SwiftRemit,NY,2026-08-08
100008,Credit card,Credit Card,Unauthorized charges,Customer communication,I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had unauthorized charges. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,TX,2026-09-09
100009,Consumer Loan,Personal Loan,High interest,Customer communication,I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had high interest. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,FL,2026-01-10
100010,Checking or savings account,Savings Account,Unexpected fees,Customer communication,I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had unexpected fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,WA,2026-02-11
100011,Money transfer,Money Transfer,Hidden fees,Customer communication,I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had hidden fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,IL,2026-03-12
100012,Credit card,Credit Card,Billing disputes,Customer communication,I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had billing disputes. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,CA,2026-04-13
100013,Consumer Loan,Personal Loan,Payment processing,Customer communication,I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had payment processing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,NY,2026-05-14
100014,Checking or savings account,Savings Account,Transfers delayed,Customer communication,I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had transfers delayed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,TX,2026-06-15
100015,Money transfer,Money Transfer,Transfer failed,Customer communication,I am writing to file a complaint. I used my money transfer service and had transfer failed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had transfer failed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,FL,2026-07-16
100016,Credit card,Credit Card,Fees,Customer communication,I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,28,CrediTrust,WA,2026-08-17
100018,Checking or savings account,Savings Account,Account access,Customer communication,I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had account access. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,CA,2026-01-19
100019,Money transfer,Money Transfer,Funds not received,Customer communication,I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had funds not received. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,30,SwiftRemit,NY,2026-02-20
100020,Credit card,Credit Card,Unauthorized charges,Customer communication,I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had unauthorized charges. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,TX,2026-03-21
100021,Consumer Loan,Personal Loan,High interest,Customer communication,I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had high interest. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,FL,2026-04-22
100022,Checking or savings account,Savings Account,Unexpected fees,Customer communication,I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had unexpected fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,WA,2026-05-23
100023,Money transfer,Money Transfer,Hidden fees,Customer communication,I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had hidden fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,IL,2026-06-24
100024,Credit card,Credit Card,Billing disputes,Customer communication,I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had billing disputes. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,CA,2026-07-25
100025,Consumer Loan,Personal Loan,Payment processing,Customer communication,I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had payment processing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,NY,2026-08-26
100026,Checking or savings account,Savings Account,Transfers delayed,Customer communication,I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had transfers delayed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,TX,2026-09-27
100027,Money transfer,Money Transfer,Transfer failed,Customer communication,I am writing to file a complaint. I used my money transfer service and had transfer failed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had transfer failed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,FL,2026-01-01
100028,Credit card,Credit Card,Fees,Customer communication,I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,28,CrediTrust,WA,2026-02-02
100029,Consumer Loan,Personal Loan,Loan servicing,Customer communication,I am writing to file a complaint. I used my personal loan service and had loan servicing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had loan servicing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,IL,2026-03-03
100030,Checking or savings account,Savings Account,Account access,Customer communication,I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had account access. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,CA,2026-04-04
100031,Money transfer,Money Transfer,Funds not received,Customer communication,I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had funds not received. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,30,SwiftRemit,NY,2026-05-05
100032,Credit card,Credit Card,Unauthorized charges,Customer communication,I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had unauthorized charges. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,TX,2026-06-06
100033,Consumer Loan,Personal Loan,High interest,Customer communication,I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had high interest. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,FL,2026-07-07
100035,Money transfer,Money Transfer,Hidden fees,Customer communication,I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had hidden fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,IL,2026-09-09
100036,Credit card,Credit Card,Billing disputes,Customer communication,I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had billing disputes. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,CA,2026-01-10
100037,Consumer Loan,Personal Loan,Payment processing,Customer communication,I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had payment processing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,NY,2026-02-11
100038,Checking or savings account,Savings Account,Transfers delayed,Customer communication,I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had transfers delayed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,TX,2026-03-12
100039,Money transfer,Money Transfer,Transfer failed,Customer communication,I am writing to file a complaint. I used my money transfer service and had transfer failed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had transfer failed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,FL,2026-04-13
100040,Credit card,Credit Card,Fees,Customer communication,I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,28,CrediTrust,WA,2026-05-14
100041,Consumer Loan,Personal Loan,Loan servicing,Customer communication,I am writing to file a complaint. I used my personal loan service and had loan servicing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had loan servicing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,IL,2026-06-15
100042,Checking or savings account,Savings Account,Account access,Customer communication,I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had account access. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,CA,2026-07-16
100043,Money transfer,Money Transfer,Funds not received,Customer communication,I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had funds not received. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,30,SwiftRemit,NY,2026-08-17
100044,Credit card,Credit Card,Unauthorized charges,Customer communication,I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had unauthorized charges. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,TX,2026-09-18
100045,Consumer Loan,Personal Loan,High interest,Customer communication,I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had high interest. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,FL,2026-01-19
100046,Checking or savings account,Savings Account,Unexpected fees,Customer communication,I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had unexpected fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,WA,2026-02-20
100047,Money transfer,Money Transfer,Hidden fees,Customer communication,I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had hidden fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,SwiftRemit,IL,2026-03-21
100048,Credit card,Credit Card,Billing disputes,Customer communication,I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had billing disputes. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,CA,2026-04-22
100049,Consumer Loan,Personal Loan,Payment processing,Customer communication,I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had payment processing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,NY,2026-05-23
100050,Checking or savings account,Savings Account,Transfers delayed,Customer communication,I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had transfers delayed. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,TX,2026-06-24
100052,Credit card,Credit Card,Fees,Customer communication,I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,28,CrediTrust,WA,2026-08-26
100053,Consumer Loan,Personal Loan,Loan servicing,Customer communication,I am writing to file a complaint. I used my personal loan service and had loan servicing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had loan servicing. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,IL,2026-09-27
100054,Checking or savings account,Savings Account,Account access,Customer communication,I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had account access. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,CA,2026-01-01
100055,Money transfer,Money Transfer,Funds not received,Customer communication,I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my money transfer service and had funds not received. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,30,SwiftRemit,NY,2026-02-02
100056,Credit card,Credit Card,Unauthorized charges,Customer communication,I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my credit card service and had unauthorized charges. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,CrediTrust,TX,2026-03-03
100057,Consumer Loan,Personal Loan,High interest,Customer communication,I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my personal loan service and had high interest. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,FinMobile,FL,2026-04-04
100058,Checking or savings account,Savings Account,Unexpected fees,Customer communication,I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly.,i used my savings account service and had unexpected fees. support response was slow and i experienced repeated inconvenience over two weeks. please investigate and resolve this matter quickly.,29,Atlas Bank,WA,2026-05-05
